,id,trialnb,blocknb,prepost,stim,response,rt,acc,correctResp
119,102,9,5,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/005tt.jpg,toilet,2311.0,1,"['wc', ' toilet', 'wcbril', 'wc-bril', 'WC']"
120,103,0,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,kniptang,2753.0,1,"['tang', ' pliers', ' nijp', ' nijptang', ' trektang', ' striptang', ' stripping', ' gereedschap']"
121,103,1,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,dier,2212.0,0,"['sinaasappel', ' pompelmoes', 'orange', ' appelsien', ' citroen', ' lemon']"
122,103,2,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/691tt.jpg,bos,863.0,0,"['luipaard', ' leopard', ' puma', ' cheetah', ' tijger', ' jaguar', ' panter']"
123,103,3,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/533tt.jpg,boom,2984.0,0,"['vlinder', ' butterfly']"
124,103,4,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/738tt.jpg,appel,3060.0,0,"['paprika', ' pepper', ' peper', ' paprika', ' red pepper', ' green pepper']"
125,103,5,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,vogel,2220.0,0,"['slang', ' slangenkop', ' snake']"
126,103,6,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,motor,3764.0,1,"['motor', ' moto', ' motorfiets', ' brommer', ' bromfiets']"
127,103,7,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/148tt.jpg,persoon,5099.0,0,"['kikker', ' pad', ' toad', ' frog']"
128,103,8,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/872tt.jpg,gras,2362.0,0,"['vlinder', ' butterfly']"
129,103,9,0,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/559tt.jpg,motor,1252.0,0,"['pad', ' toad', ' frog', ' kikker']"
130,103,0,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/872tt.jpg,vlinder,1338.0,1,"['vlinder', ' butterfly']"
