id,trialnb,blocknb,prepost,stim,response,rt
103,2,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/559tt.jpg,motor,1390
103,3,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,dier,2517
103,4,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,kniptang,2081
103,5,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/738tt.jpg,appel,1135
103,6,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,stad,2551
103,7,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,slang,1366
103,8,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/148tt.jpg,vlieg,1795
103,9,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/533tt.jpg,vlinder,2018
103,0,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/018tt.jpg,appel,3030
103,1,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/062tt.jpg,hond,2082
103,2,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/643tt.jpg,boekentas,1956
103,3,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/006tt.jpg,spin,3048
103,4,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/623tt.jpg,weg,1289
103,5,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/021tt.jpg,man,1846
103,6,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/013tt.jpg,bos,2785
103,7,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/560tt.jpg,bloemm,2164
103,8,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/655tt.jpg,ezel,2167
103,9,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/562tt.jpg,schoorsteen,7670
103,0,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/021tt.jpg,kikkers,5189
103,1,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/623tt.jpg,olifant,2188
103,2,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/018tt.jpg,appel,2053
103,3,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/006tt.jpg,kwal,1104
103,4,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/013tt.jpg,hond,4400
103,5,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/655tt.jpg,ezels,1404
103,6,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/562tt.jpg,bos,4518
103,7,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/643tt.jpg,aktetas,1745
103,8,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/062tt.jpg,beest,2004
103,9,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/560tt.jpg,paddestoel,2814
103,0,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/573tt.jpg,bos,2395
103,1,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/595tt.jpg,dier,1957
103,2,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/874tt.jpg,weg,3305
103,3,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/728tt.jpg,uil,1226
103,4,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/184tt.jpg,vorken,1333
103,5,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/676tt.jpg,huisje,2967
103,6,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/661tt.jpg,pauw,1229
103,7,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/558tt.jpg,zwaan,1892
103,8,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/127tt.jpg,tractor,2137
103,9,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/576tt.jpg,fiets,1534
103,0,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/127tt.jpg,tractor,1770
103,1,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/573tt.jpg,vorken,2237
103,2,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/874tt.jpg,walvis,2892
103,3,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/676tt.jpg,huisje,1463
103,4,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/661tt.jpg,eenden,1810
103,5,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/558tt.jpg,kikker,1648
103,6,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/595tt.jpg,walvis,1691
103,7,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/184tt.jpg,vorken,1021
103,8,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/576tt.jpg,?,2107
103,9,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/728tt.jpg,uil,1018
103,0,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/859tt.jpg,veld,2791
103,1,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/015tt.jpg,dier,1521
103,2,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/192tt.jpg,pauw,1428
103,3,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/593tt.jpg,huis,1929
103,4,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/683tt.jpg,dier,1335
103,5,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/609tt.jpg,uil,2481
103,6,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/007tt.jpg,piano,1264
103,7,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/025tt.jpg,dier,1403
103,8,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/292tt.jpg,dier,2621
103,9,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/823tt.jpg,bos,2040
103,0,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/823tt.jpg,koala,1633
103,1,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/015tt.jpg,leeuw,1074
103,2,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/007tt.jpg,piano,1595
103,3,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/859tt.jpg,gras,3059
103,4,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/292tt.jpg,dier,1473
103,5,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/025tt.jpg,dier,1160
103,6,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/683tt.jpg,koala,1562
103,7,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/192tt.jpg,pauw,3025
