id,sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
21211,Vrouw,10/97,4,1,1,2,1,2,2,1,3,3,3,1,2,1,1,1,2,1,3,4,4,1,1,4,1,2,2,2,3,3,2,1,3,2,3,2,2,3,1,1,2,4,1,3,3,2,2,2,3,1
20974,Vrouw,21/07/1997,1,4,4,2,2,4,3,1,4,2,2,2,3,1,1,3,1,3,4,4,4,3,4,2,2,3,1,2,1,3,1,3,2,1,4,3,1,2,4,1,4,3,2,1,4,2,1,1,1,1
20311,Vrouw,23/08/97,2,3,1,3,2,2,4,2,4,1,2,2,4,3,2,4,1,3,4,3,3,2,3,1,1,3,2,3,3,3,2,2,3,1,3,2,3,2,4,2,4,3,2,1,3,3,2,2,3,2
21040,Vrouw,06/1997,2,1,2,1,3,3,2,1,4,2,1,3,2,3,2,2,2,3,4,4,3,3,4,3,3,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,2,2,3,2
21046,Vrouw,18/97,3,3,2,4,4,3,2,3,3,3,3,4,2,2,4,2,3,3,3,2,2,3,4,2,2,2,3,1,3,4,3,2,3,3,1,3,2,3,2,3,1,2,3,4,2,3,3,1,2,3
21076,Man,05/96,3,2,2,4,1,3,4,1,4,2,4,3,4,3,3,4,2,3,4,3,4,1,3,2,1,2,1,1,2,3,1,2,3,2,4,1,2,3,4,3,4,4,3,2,3,3,4,2,3,2
20941,Vrouw,04/1997,4,1,2,2,1,1,3,2,4,2,2,1,4,2,1,1,1,3,4,4,3,3,2,1,3,2,2,2,2,4,2,4,4,3,2,1,4,2,2,3,4,3,2,2,3,2,2,3,2,2
21019,Vrouw,12/96,1,2,2,3,3,2,4,1,4,1,2,3,3,2,2,3,2,2,4,4,4,3,3,1,2,3,3,3,3,4,2,3,3,1,1,2,2,2,3,1,4,3,1,2,2,3,2,3,1,1
20659,Vrouw,10/97,3,2,1,3,2,1,3,1,3,2,3,2,4,3,2,3,2,3,3,4,4,2,3,1,2,3,3,3,4,3,2,2,4,2,4,3,2,3,4,1,4,3,2,2,3,3,3,3,2,1
20761,Vrouw,07/97,2,1,1,2,3,4,3,2,4,2,2,3,4,2,2,2,2,2,4,3,3,3,4,2,2,3,2,2,3,2,1,2,3,2,3,2,2,2,2,1,4,3,2,2,3,3,2,3,3,1
